trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
437,False,"{'a': 0.5, 'e': 0.07222276341632078}",20,13,12.666707410208065,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.5, 'e': 0.07179072424944025}",20,9,21.06907987485682,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.5, 'e': 0.07136126955638605}",25,16,-27.09836049778639,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
440,False,"{'a': 0.5, 'e': 0.07093438387674295}",20,5,10.35640515011749,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.5, 'e': 0.0705100518425803}",20,0,15.75786871345606,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
442,False,"{'a': 0.5, 'e': 0.07008825817789911}",25,7,24.830822962129933,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.5, 'e': 0.06966898769808184}",25,13,20.185834857224133,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.5, 'e': 0.069252225309346}",20,16,6.226039408353932,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.5, 'e': 0.06883795600820049}",20,4,28.018294638053163,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.5, 'e': 0.06842616488090583}",30,12,29.529222964626936,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.5, 'e': 0.06801683710293688}",30,16,25.366799166054587,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.5, 'e': 0.0676099579384495}",25,0,-2.8715341573682682,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
449,False,"{'a': 0.5, 'e': 0.06720551273974976}",30,12,17.607917594669185,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
450,False,"{'a': 0.5, 'e': 0.06680348694676687}",20,10,20.032541712987932,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.5, 'e': 0.06640386608652883}",20,2,14.567314857519525,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
452,False,"{'a': 0.5, 'e': 0.06600663577264156}",20,12,16.688821721465196,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.5, 'e': 0.0656117817047708}",25,0,-3.44824516178606,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
454,False,"{'a': 0.5, 'e': 0.06521928966812753}",35,17,31.877292784208933,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.5, 'e': 0.06482914553295596}",20,16,9.084858816717835,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.5, 'e': 0.06444133525402518}",25,7,12.626913905914463,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
457,False,"{'a': 0.5, 'e': 0.06405584487012317}",25,16,16.23671286175554,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.5, 'e': 0.06367266050355457}",25,8,31.006455573930744,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.5, 'e': 0.0632917683596407}",25,15,17.37039057905913,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.5, 'e': 0.06291315472622334}",25,0,36.198383522555716,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
461,False,"{'a': 0.5, 'e': 0.06253680597317074}",20,8,17.34311987723772,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.5, 'e': 0.062162708551887165}",25,18,13.98337439492377,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,False,"{'a': 0.5, 'e': 0.061790848994825016}",20,14,-0.3489160795406687,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
464,False,"{'a': 0.5, 'e': 0.06142121391500013}",20,5,19.646113524170588,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.5, 'e': 0.06105379000550965}",30,24,14.12110594375263,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,False,"{'a': 0.5, 'e': 0.06068856403905322}",25,0,-19.444185018930167,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
467,False,"{'a': 0.5, 'e': 0.06032552286745654}",20,0,29.642548674131202,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
468,False,"{'a': 0.5, 'e': 0.05996465342119827}",25,8,31.229605402340386,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.5, 'e': 0.05960594270893937}",25,12,28.060320904298013,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.5, 'e': 0.0592493778170554}",20,11,1.1987714126922135,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
471,False,"{'a': 0.5, 'e': 0.05889494590917182}",25,9,31.99333122956549,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.5, 'e': 0.0585426342257016}",25,7,25.894265799022225,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.5, 'e': 0.05819243008338615}",20,2,31.216378057901828,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.5, 'e': 0.057844320874838456}",20,13,12.479076904318626,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,False,"{'a': 0.5, 'e': 0.057498294068089484}",30,13,32.50218362889925,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,False,"{'a': 0.5, 'e': 0.05715433720613676}",30,0,39.24789036529161,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
477,False,"{'a': 0.5, 'e': 0.056812437906496156}",35,15,24.47504102728643,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
478,False,"{'a': 0.5, 'e': 0.05647258386075591}",25,18,12.206765149674062,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.5, 'e': 0.056134762834133725}",20,3,21.08135043908012,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
